datetimeisoformat;Ch1-S;Ch2-D;PC3;PE4
2022-03-29T03:19:04.634321+00:00;0.28;0.35;0.04;0.10;
2022-03-29T03:20:05.079470+00:00;0.32;0.39;0.04;0.12;
2022-03-29T03:21:05.532264+00:00;0.28;0.27;0.06;0.15;
2022-03-29T03:22:06.068091+00:00;0.26;0.24;0.10;0.11;
2022-03-29T03:23:04.878696+00:00;0.30;0.30;0.05;0.11;
2022-03-29T03:24:05.376917+00:00;0.28;0.32;0.03;0.10;
2022-03-29T03:25:05.936839+00:00;0.29;0.26;0.04;0.12;
2022-03-29T03:26:04.770023+00:00;0.32;0.27;0.04;0.10;
2022-03-29T03:27:05.211477+00:00;0.27;0.25;0.05;0.09;
2022-03-29T03:28:05.690127+00:00;0.28;0.28;0.05;0.10;
2022-03-29T03:29:04.664209+00:00;0.36;0.29;0.04;0.10;
2022-03-29T03:30:05.160598+00:00;0.30;0.33;0.06;0.10;
2022-03-29T03:31:05.614946+00:00;0.33;0.50;0.06;0.11;
2022-03-29T03:32:06.070615+00:00;0.33;0.35;0.08;0.11;
2022-03-29T03:33:04.957938+00:00;0.31;0.37;0.05;0.11;
2022-03-29T03:34:05.436053+00:00;0.29;0.30;0.05;0.13;
2022-03-29T03:35:05.903389+00:00;0.33;0.36;0.01;0.11;
2022-03-29T03:36:04.811508+00:00;0.34;0.37;0.11;0.10;
2022-03-29T03:37:05.303588+00:00;0.34;0.53;0.05;0.10;
2022-03-29T03:38:05.945754+00:00;0.37;0.31;0.05;0.13;
2022-03-29T03:39:04.842999+00:00;0.42;0.28;0.03;0.12;
2022-03-29T03:40:05.313856+00:00;0.36;0.35;0.06;0.11;
2022-03-29T03:41:05.883035+00:00;0.33;0.29;0.04;0.11;
2022-03-29T03:42:04.761977+00:00;0.35;0.31;0.06;0.11;
2022-03-29T03:43:05.261416+00:00;0.36;0.29;0.07;0.10;
2022-03-29T03:44:05.750542+00:00;0.30;0.27;0.07;0.13;
2022-03-29T03:45:04.764823+00:00;0.41;0.42;0.04;0.11;
2022-03-29T03:46:05.428296+00:00;0.36;0.36;0.08;0.11;
2022-03-29T03:47:06.075377+00:00;0.32;0.30;0.06;0.11;
2022-03-29T03:48:04.985938+00:00;0.47;0.38;0.02;0.13;
2022-03-29T03:49:05.440676+00:00;0.33;0.32;0.04;0.11;
2022-03-29T03:50:05.961763+00:00;0.38;0.30;0.04;0.12;
2022-03-29T03:51:04.865996+00:00;0.34;0.29;0.06;0.10;
2022-03-29T03:52:05.553854+00:00;0.39;0.31;0.05;0.11;
2022-03-29T03:53:04.776700+00:00;0.30;0.42;0.05;0.12;
2022-03-29T03:54:05.216423+00:00;0.32;0.33;0.04;0.11;
2022-03-29T03:55:05.787250+00:00;0.29;0.34;0.02;0.11;
2022-03-29T03:56:05.273943+00:00;0.32;0.31;0.06;0.11;
2022-03-29T03:57:05.747101+00:00;0.33;0.34;0.03;0.11;
2022-03-29T03:58:04.797901+00:00;0.33;0.27;0.04;0.12;
2022-03-29T03:59:05.370834+00:00;0.35;0.29;0.06;0.11;
2022-03-29T04:00:05.821560+00:00;0.42;0.26;0.05;0.12;
2022-03-29T04:01:04.800694+00:00;0.37;0.30;0.04;0.11;
2022-03-29T04:02:05.263876+00:00;0.39;0.27;0.06;0.11;
2022-03-29T04:03:05.802378+00:00;0.43;0.30;0.03;0.13;
2022-03-29T04:04:04.620347+00:00;0.44;0.30;0.02;0.10;
2022-03-29T04:05:05.506787+00:00;0.28;0.35;0.09;0.12;
2022-03-29T04:06:05.992523+00:00;0.36;0.28;0.06;0.13;
2022-03-29T04:07:04.863391+00:00;0.52;0.51;0.05;0.11;
2022-03-29T04:08:05.382031+00:00;0.35;0.39;0.04;0.11;
2022-03-29T04:09:05.911336+00:00;0.37;0.37;0.03;0.11;
2022-03-29T04:10:04.780453+00:00;0.35;0.38;0.04;0.12;
2022-03-29T04:11:05.287263+00:00;0.39;0.28;0.03;0.11;
2022-03-29T04:12:05.746671+00:00;0.48;0.36;0.01;0.11;
2022-03-29T04:13:04.616069+00:00;0.42;0.31;0.04;0.11;
2022-03-29T04:14:05.082784+00:00;0.56;0.30;0.04;0.12;
2022-03-29T04:15:05.637318+00:00;0.39;0.27;0.03;0.13;
2022-03-29T04:16:06.216489+00:00;0.34;0.30;0.03;0.12;
2022-03-29T04:17:05.099333+00:00;0.35;0.30;0.05;0.11;
2022-03-29T04:18:05.544634+00:00;0.33;0.26;0.06;0.11;
2022-03-29T04:19:04.840758+00:00;0.30;0.27;0.10;0.14;
2022-03-29T04:20:05.239498+00:00;0.45;0.32;0.02;0.12;
2022-03-29T04:21:06.048288+00:00;0.39;0.40;0.05;0.11;
2022-03-29T04:22:04.910072+00:00;0.31;0.27;0.05;0.12;
2022-03-29T04:23:05.349394+00:00;0.30;0.30;0.05;0.11;
2022-03-29T04:24:05.904774+00:00;0.26;0.26;0.07;0.09;
2022-03-29T04:25:04.798786+00:00;0.29;0.31;0.02;0.11;
2022-03-29T04:26:05.241278+00:00;0.35;0.36;0.05;0.10;
