datetimeisoformat,Ch1-S,Ch2-D,PC3,PE4
2022-03-21T18:06:37.673428+00:00,0.36,0.24,0.06,0.11
2022-03-21T18:06:49.160275+00:00,0.38,0.25,0.05,0.11
2022-03-21T18:06:59.041820+00:00,0.38,0.25,0.03,0.12
2022-03-21T18:07:09.080406+00:00,0.37,0.29,0.07,0.12
2022-03-21T18:07:18.988631+00:00,0.36,0.25,0.09,0.11
2022-03-21T18:07:28.863758+00:00,0.35,0.23,0.06,0.12
2022-03-21T18:07:38.745341+00:00,0.35,0.24,0.08,0.11
2022-03-21T18:07:48.615581+00:00,0.36,0.23,0.04,0.1
2022-03-21T18:07:58.516694+00:00,0.39,0.27,0.06,0.11
2022-03-21T18:08:08.411707+00:00,0.34,0.25,0.04,0.11
2022-03-21T18:08:18.265947+00:00,0.36,0.35,0.06,0.11
2022-03-21T18:08:28.181526+00:00,0.37,0.24,0.02,0.16
2022-03-21T18:08:38.056802+00:00,0.37,0.39,0.08,0.12
2022-03-21T18:08:47.946720+00:00,0.35,0.26,0.05,0.1
2022-03-21T18:08:57.809004+00:00,0.35,0.31,0.06,0.12
2022-03-21T18:09:07.670777+00:00,0.39,0.23,0.04,0.11
2022-03-21T18:09:19.204467+00:00,0.35,0.24,0.07,0.11
2022-03-21T18:09:29.058298+00:00,0.36,0.22,0.06,0.14
2022-03-21T18:09:38.926316+00:00,0.37,0.28,0.06,0.11
2022-03-21T18:09:48.770159+00:00,0.37,0.27,0.06,0.12
2022-03-21T18:09:58.681494+00:00,0.37,0.25,0.03,0.12
2022-03-21T18:10:08.565316+00:00,0.35,0.28,0.01,0.11
2022-03-21T18:10:18.473980+00:00,0.41,0.26,0.05,0.11
2022-03-21T18:10:28.364274+00:00,0.35,0.22,0.08,0.11
2022-03-21T18:10:38.253786+00:00,0.52,0.28,0.04,0.11
2022-03-21T18:10:48.157523+00:00,0.42,0.25,0.06,0.13
2022-03-21T18:10:58.028432+00:00,0.4,0.28,0.05,0.11
2022-03-21T18:11:07.900967+00:00,0.37,0.31,0.05,0.11
2022-03-21T18:11:17.757911+00:00,0.36,0.26,0.04,0.1
2022-03-21T18:11:27.682097+00:00,0.44,0.23,0.08,0.11
2022-03-21T18:11:37.696927+00:00,0.37,0.28,0.05,0.1
2022-03-21T18:11:49.181253+00:00,0.35,0.32,0.06,0.11
2022-03-21T18:11:59.113727+00:00,0.38,0.29,0.03,0.11
2022-03-21T18:12:08.992949+00:00,0.35,0.24,0.03,0.12
2022-03-21T18:12:18.912530+00:00,0.35,0.39,0.04,0.1
2022-03-21T18:12:28.789491+00:00,0.38,0.35,0.04,0.12
2022-03-21T18:12:38.674098+00:00,0.46,0.26,0.04,0.11
2022-03-21T18:12:48.531449+00:00,0.36,0.26,0.05,0.13
2022-03-21T18:12:58.463829+00:00,0.39,0.26,0.06,0.13
2022-03-21T18:13:08.320041+00:00,0.34,0.31,0.04,0.11
2022-03-21T18:13:18.204980+00:00,0.36,0.3,0.03,0.11
2022-03-21T18:13:28.138237+00:00,0.36,0.28,0.08,0.12
2022-03-21T18:13:38.151763+00:00,0.36,0.55,0.07,0.12
2022-03-21T18:13:48.027230+00:00,0.39,0.24,0.09,0.11
2022-03-21T18:13:57.917213+00:00,0.35,0.39,0.05,0.13
2022-03-21T18:14:07.794178+00:00,0.39,0.21,0.07,0.14
2022-03-21T18:14:17.696819+00:00,0.34,0.26,0.05,0.11
2022-03-21T18:14:29.161989+00:00,0.31,0.27,0.08,0.11
2022-03-21T18:14:39.075983+00:00,0.35,0.26,0.07,0.13
2022-03-21T18:14:49.026079+00:00,0.38,0.25,0.06,0.11
2022-03-21T18:14:58.970716+00:00,0.33,0.34,0.07,0.12
2022-03-21T18:15:07.897945+00:00,0.38,0.25,0.06,0.11
2022-03-21T18:15:17.749838+00:00,0.48,0.25,0.02,0.1
2022-03-21T18:15:27.681066+00:00,0.36,0.23,0.03,0.1
2022-03-21T18:15:37.614874+00:00,0.34,0.28,0.06,0.11
2022-03-21T18:15:49.133903+00:00,0.34,0.24,0.04,0.11
2022-03-21T18:15:59.024763+00:00,0.38,0.36,0.09,0.1
2022-03-21T18:16:08.886015+00:00,0.43,0.27,0.07,0.11
2022-03-21T18:16:18.849792+00:00,0.37,0.35,0.05,0.11
2022-03-21T18:16:28.736498+00:00,0.42,0.23,0.05,0.11
2022-03-21T18:16:38.614422+00:00,0.38,0.22,0.02,0.11
2022-03-21T18:16:48.582542+00:00,0.36,0.32,0.08,0.1
2022-03-21T18:16:58.422241+00:00,0.34,0.28,0.05,0.11
2022-03-21T18:17:08.312026+00:00,0.39,0.26,0.05,0.12
2022-03-21T18:17:18.188099+00:00,0.37,0.24,0.01,0.12
2022-03-21T18:17:28.094023+00:00,0.38,0.26,0.03,0.18
2022-03-21T18:17:37.989647+00:00,0.37,0.25,0.05,0.14
2022-03-21T18:17:47.861379+00:00,0.35,0.23,0.02,0.11
2022-03-21T18:17:57.746597+00:00,0.41,0.27,0.03,0.12
2022-03-21T18:18:09.209557+00:00,0.4,0.29,0.05,0.11
2022-03-21T18:18:19.106332+00:00,0.35,0.22,0.03,0.11
2022-03-21T18:18:29.011127+00:00,0.41,0.3,0.07,0.14
2022-03-21T18:18:38.899734+00:00,0.36,0.27,0.04,0.12
2022-03-21T18:18:48.814952+00:00,0.35,0.27,0.03,0.1
2022-03-21T18:18:58.698750+00:00,0.35,0.25,0.01,0.12
2022-03-21T18:19:08.594033+00:00,0.39,0.3,0.08,0.09
2022-03-21T18:19:18.447221+00:00,0.34,0.27,0.04,0.12
2022-03-21T18:19:28.311693+00:00,0.39,0.22,0.05,0.11
2022-03-21T18:19:38.230912+00:00,0.36,0.25,0.02,0.12
2022-03-21T18:19:48.115222+00:00,0.44,0.24,0.05,0.11
2022-03-21T18:19:57.983292+00:00,0.39,0.23,0.03,0.12
2022-03-21T18:20:07.865556+00:00,0.34,0.3,0.04,0.11
2022-03-21T18:20:17.727541+00:00,0.38,0.33,0.04,0.16
2022-03-21T18:20:27.687893+00:00,0.38,0.22,0.06,0.12
2022-03-21T18:20:39.162006+00:00,0.42,0.28,0.06,0.11
2022-03-21T18:20:49.037555+00:00,0.43,0.23,0.03,0.09
2022-03-21T18:20:58.930375+00:00,0.36,0.37,0.01,0.11
2022-03-21T18:21:08.805074+00:00,0.37,0.48,0.07,0.12
2022-03-21T18:21:18.683149+00:00,0.35,0.27,0.05,0.1
2022-03-21T18:21:28.535638+00:00,0.39,0.3,0.04,0.12
2022-03-21T18:21:38.474649+00:00,0.38,0.3,0.06,0.14
2022-03-21T18:21:48.359361+00:00,0.4,0.24,0.06,0.11
2022-03-21T18:21:58.203504+00:00,0.34,0.45,0.05,0.17
2022-03-21T18:22:08.080997+00:00,0.37,0.25,0.04,0.1
2022-03-21T18:22:17.937475+00:00,0.36,0.25,0.06,0.1
2022-03-21T18:22:27.828171+00:00,0.36,0.28,0.05,0.13
2022-03-21T18:22:37.890250+00:00,0.39,0.34,0.03,0.12
2022-03-21T18:22:47.740955+00:00,0.33,0.24,0.03,0.1
2022-03-21T18:22:57.614289+00:00,0.41,0.27,0.05,0.14
2022-03-21T18:23:09.115653+00:00,0.41,0.22,0.05,0.12
2022-03-21T18:23:19.019112+00:00,0.34,0.27,0.07,0.11
2022-03-21T18:23:28.881956+00:00,0.34,0.25,0.06,0.14
2022-03-21T18:23:38.744885+00:00,0.34,0.31,0.04,0.1
2022-03-21T18:23:48.641053+00:00,0.37,0.28,0.06,0.11
2022-03-21T18:23:58.648312+00:00,0.39,0.24,0.03,0.1
2022-03-21T18:24:08.560848+00:00,0.37,0.2,0.01,0.11
